prefecture,city,number,address,name,lat,long
埼玉県,さいたま市,01-01,西区大字宝来1656番地39,指扇駅北口ロータリー 中央植え込み,35.9168913,139.5647828
埼玉県,さいたま市,01-01,西区大字指扇領別所382番地110,住友２号公園 南側フェンス,35.9224216,139.5659268
埼玉県,さいたま市,01-01,西区大字指扇領別所109番地48,住友３号公園 北側フェンス,35.9229256,139.5679288
埼玉県,さいたま市,01-01,西区大字高木300番地31,指扇団地公園 南側フェンス,35.9255276,139.5696768
埼玉県,さいたま市,01-01,西区大字宝来1760番地11,大宮宝来ハイツ公園 南側フェンス,35.9184278,139.5589512
埼玉県,さいたま市,01-01,西区大字指扇2804番地1,赤羽自治会館入口付近フェンス,35.9161875,139.571478
埼玉県,さいたま市,01-01,西区大字指扇2856番地245,指扇台東公園 西側フェンス,35.9188748,139.571927
埼玉県,さいたま市,01-01,西区大字指扇2826番地3,鎮守公園 東側フェンス,35.9187889,139.5763839
埼玉県,さいたま市,01-01,西区大字指扇2617番地2,赤羽根第１公園 南東側フェンス,35.9166701,139.5669914
埼玉県,さいたま市,01-01,西区大字指扇2809番地1,指扇氷川神社 南側入口付近,35.9158161,139.5713984
埼玉県,さいたま市,01-01,西区大字指扇1958番地143,やよい公園 東側フェンス,35.9153228,139.5761623
埼玉県,さいたま市,01-01,西区大字指扇1958番地269,わかば公園 南側フェンス,35.9153228,139.5761623
埼玉県,さいたま市,01-01,西区大字土屋1766番地1,市立土屋中学校 西側フェンス,35.9117966,139.57112
埼玉県,さいたま市,01-01,西区大字土屋1752番地5,大宮土屋ハイツ公園 西側フェンス,35.9124677,139.5684284
埼玉県,さいたま市,01-01,西区大字指扇2285番地,琵琶島公園 北東側フェンス,35.9187889,139.5763839
埼玉県,さいたま市,01-01,西区大字土屋258番地1,市立土屋中学校グランド 北東側フェンス,35.9090418,139.5706521
埼玉県,さいたま市,01-01,西区大字土屋262番地1,市立土屋中学校 南東側フェンス,35.9090418,139.5706521
埼玉県,さいたま市,01-01,西区大字土屋217番地,土屋公園 東側フェンス,35.9099075,139.5698187
埼玉県,さいたま市,01-01,西区大字指扇1118番地46,下戸公園 西側フェンス,35.9103764,139.5787484
埼玉県,さいたま市,01-01,西区大字指扇2220番地2,さいたま春日部線沿い 道路フェンス,35.9133054,139.5747257
埼玉県,さいたま市,01-01,西区大字西遊馬1601番地,大宮武蔵野高等学校 東側正門隣水路フェンス,35.9105311,139.5604014
埼玉県,さいたま市,01-01,西区大字西遊馬1969番地7,西遊馬団地 遊水池フェンス,35.9148422,139.5630856
埼玉県,さいたま市,01-01,西区大字西遊馬1962番地6,西遊馬団地公園 北側,35.9165336,139.5609636
埼玉県,さいたま市,01-01,西区大字西遊馬1441番地1,西遊馬上サ自治会館 入口左側,35.9127886,139.5619737
埼玉県,さいたま市,01-01,西区大字西遊馬899番地3,西遊馬公園管理事務所 西側フェンス,35.9049143,139.5607969
埼玉県,さいたま市,01-01,西区大字西遊馬980番地1,西遊馬本村自治会館 北側フェンス,35.9092441,139.5638636
埼玉県,さいたま市,01-01,西区大字西遊馬1556番地5,西遊馬北公園 南側フェンス,35.9113382,139.5648254
埼玉県,さいたま市,01-01,西区大字飯田新田189番地2,市立馬宮西小学校 北側正門横フェンス,35.8858261,139.5599264
埼玉県,さいたま市,01-01,西区湯木町1丁目53番地3,湯木自治会館 南側フェンス,35.8951519,139.5553738
埼玉県,さいたま市,01-01,西区大字飯田新田318番地,飯田新田集会場 西側ブロック塀,35.8865135,139.553222
埼玉県,さいたま市,01-01,西区大字飯田新田560番地3,さいたまふじみ野所沢線沿い 道路フェンス,35.8847729,139.5572801
埼玉県,さいたま市,01-01,西区大字飯田新田189番地2,市立馬宮西小学校 東側フェンス,35.8858261,139.5599264
埼玉県,さいたま市,01-01,西区大字植田谷本村新田179番地4,住宅 北側空地（鉄塔の北側）,35.8928628,139.5617371
埼玉県,さいたま市,01-01,西区塚本町2丁目152番地,塚本公園 北側フェンス,35.876435,139.5649208
埼玉県,さいたま市,01-01,西区大字二ツ宮589番地1,市立馬宮中学校 西側正門横フェンス,35.8976687,139.5800166
埼玉県,さいたま市,01-01,西区大字西遊馬307番地1,西消防署西遊馬出張所 北東側フェンス,35.9035913,139.5756534
